TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-25,2026-06-25,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,14.38,14.45,13.98,14.06,14.05,14.31,,14.06,,,345168556,4889449945.08,513501,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,8596,INE0FS801015,MSUMI,EQ,,,,,MOTHERSON SUMI WRNG IND L,38.0,42.0,38.0,41.26,41.03,37.82,,41.26,,,227891559,9337032616.65,351705,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,21428,INF277KA1984,TATSILV,EQ,,,,,TATAAML-TATSILV,21.44,21.44,20.01,21.02,21.07,21.66,,21.02,,,142072472,2962013906.39,127809,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,2792,INE07O001026,EASEMYTRIP,EQ,,,,,EASY TRIP PLANNERS LTD,7.55,7.89,7.12,7.2,7.24,7.54,,7.2,,,87184816,643402082.97,54018,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,11915,INE528G01035,YESBANK,EQ,,,,,YES BANK LIMITED,25.06,25.15,24.77,24.87,24.8,24.94,,24.87,,,86623878,2160555866.89,75831,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,58.24,58.46,56.87,57.14,57.01,57.91,,57.14,,,83934060,4833792390.53,110396,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,24777,INE0LXG01040,OLAELEC,EQ,,,,,OLA ELECTRIC MOBILITY LTD,43.09,43.18,41.27,41.8,41.58,43.17,,41.8,,,77976130,3287711834.39,120104,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,4204,INE775A01035,MOTHERSON,EQ,,,,,SAMVRDHNA MTHRSN INTL LTD,145.03,155.25,144.02,151.71,151.85,144.58,,151.71,,,74519440,11306418287.78,259878,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,15308,INE964H01014,SEPC,EQ,,,,,SEPC LIMITED,6.85,6.9,6.48,6.59,6.61,6.81,,6.59,,,70372299,464689161.97,37251,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,20788,INE0FRK01020,MOTISONS,EQ,,,,,MOTISONS JEWELLERS LTD,14.15,14.98,14.01,14.12,14.15,14.05,,14.12,,,69242424,989792388.27,117185,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,212,INE208A01029,ASHOKLEY,EQ,,,,,ASHOK LEYLAND LTD,156.6,162.2,156.51,160.68,161.12,154.91,,160.68,,,60935591,9749964865.79,206479,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,13745,INE221H01019,GTLINFRA,EQ,,,,,GTL INFRA.LTD,1.47,1.47,1.4,1.4,1.42,1.44,,1.4,,,50810209,72403293.54,13780,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,2029,INE053F01010,IRFC,EQ,,,,,INDIAN RAILWAY FIN CORP L,91.01,92.25,91.01,91.77,91.73,92.5,,91.77,,,50633854,4650954136.83,106886,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,21362,INE170V01027,SALASAR,EQ,,,,,SALASAR TECHNO ENGG. LTD.,6.62,6.64,6.11,6.17,6.2,6.44,,6.17,,,46787655,292295188.4,16697,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,1333,INE040A01034,HDFCBANK,EQ,,,,,HDFC BANK LTD,798.5,804.45,794.75,796.3,796.0,793.2,,796.25,,,46707966,37336168879.3,467329,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,29124,INE785M01021,PCJEWELLER,EQ,,,,,PC JEWELLER LTD,8.8,8.83,8.52,8.57,8.57,8.78,,8.57,,,42388774,365878159.23,23152,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,10794,INE476A01022,CANBK,EQ,,,,,CANARA BANK,130.97,131.1,128.01,128.95,129.27,130.15,,128.96,,,40872336,5282716128.52,125367,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,759820,INE15B701018,PINELABS,EQ,,,,,PINE LABS LIMITED,162.0,164.4,158.3,160.07,160.49,161.27,,160.07,,,40301134,6506526393.31,176354,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,3063,INE205A01025,VEDL,EQ,,,,,VEDANTA LIMITED,279.0,279.0,271.4,273.45,273.4,282.55,,273.45,,,39094966,10718551834.45,259867,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,1491,INE039A01010,IFCI,EQ,,,,,IFCI LTD,80.4,80.56,76.55,77.0,76.91,79.74,,77.0,,,36352132,2843382211.89,89557,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,2475,INE213A01029,ONGC,EQ,,,,,OIL AND NATURAL GAS CORP.,240.8,240.8,232.1,233.1,233.15,240.0,,233.1,,,36085563,8491821399.75,277040,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,11763,INE351F01018,JPPOWER,EQ,,,,,JAIPRAKASH POWER VEN. LTD,18.04,18.11,17.82,17.94,17.88,17.98,,17.94,,,35710188,640802787.49,24318,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,9049,INE535D01037,ROTO,EQ,,,,,ROTO PUMPS LIMITED,76.2,78.77,72.33,74.37,73.2,76.2,,74.37,,,34307426,2608643996.94,93801,F1,1,,,,,
2026-06-25,2026-06-25,CM,NSE,STK,3499,INE081A01020,TATASTEEL,EQ,,,,,TATA STEEL LIMITED,190.0,190.86,187.61,188.71,188.6,190.16,,188.71,,,34151735,6445694439.45,278728,F1,1,,,,,
