TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-30,2026-06-30,CM,NSE,STK,275,INE406A01037,AUROPHARMA,EQ,,,,,AUROBINDO PHARMA LTD,1551.0,1588.9,1547.5,1578.7,1574.0,1547.5,,1578.7,,,3230823,5088482993.2,95049,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,2909,INE209B01025,RICOAUTO,EQ,,,,,RICO AUTO INDUSTRIES LTD,133.51,139.7,132.12,135.36,135.4,132.99,,135.36,,,3211592,437660469.9,24091,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,9599,INE148O01028,DELHIVERY,EQ,,,,,DELHIVERY LIMITED,465.45,474.2,463.55,472.05,470.35,463.55,,472.05,,,3202117,1503266095.95,48727,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,17963,INE239A01024,NESTLEIND,EQ,,,,,NESTLE INDIA LIMITED,1387.3,1421.7,1387.3,1405.2,1413.8,1387.3,,1405.3,,,3178483,4468542379.2,100814,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,17094,INE299U01018,CROMPTON,EQ,,,,,CROMPT GREA CON ELEC LTD,276.25,277.45,270.25,274.75,274.6,273.5,,274.75,,,3171260,868655127.05,35370,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,8833,INE425B01027,BCG,EQ,,,,,BRIGHTCOM GROUP LIMITED,9.83,9.94,9.77,9.81,9.87,9.83,,9.81,,,3051281,29953799.04,3361,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,13501,INE418H01029,ALLCARGO,EQ,,,,,ALLCARGO LOGISTICS LTD,8.1,8.18,8.0,8.09,8.13,8.09,,8.09,,,3029781,24501599.66,4216,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,14296,INE807F01027,VIYASH,EQ,,,,,VIYASH SCIENTIFIC LIMITED,270.95,278.8,266.6,276.75,276.3,269.8,,276.75,,,3016610,824133398.65,33840,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,1270,INE079A01024,AMBUJACEM,EQ,,,,,AMBUJA CEMENTS LTD,425.0,425.85,419.65,421.85,422.8,424.25,,421.85,,,3012504,1272902639.85,35347,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,27020,INE00YB01025,ABINFRA,EQ,,,,,A B INFRABUILD LIMITED,11.72,12.12,11.41,11.59,11.5,11.7,,11.59,,,2960361,34815682.23,3043,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,759062,INE0KKN01029,RHETAN,EQ,,,,,RHETAN TMT LIMITED,27.0,27.29,26.11,26.32,26.3,26.35,,26.32,,,2908786,76850444.23,2897,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3466,INE305A01023,TFCILTD,EQ,,,,,TOURISM FINANCE CORP. OF,75.89,78.7,75.68,77.07,76.86,75.54,,77.07,,,2900515,223811904.28,7090,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,761670,INE05TO01019,AMIRCHAND,EQ,,,,,AMIR CHAND JAG KUM (E) L,129.0,140.23,127.99,139.21,139.55,127.49,,139.19,,,2892421,398675326.48,14928,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,1360,INE049A01027,HIMATSEIDE,EQ,,,,,HIMATSINGKA SEIDE LTD,87.49,93.0,85.98,91.83,92.3,86.65,,91.83,,,2887733,261156870.73,17937,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,25807,INE080I01025,LLOYDSENT,EQ,,,,,LLOYDS ENTERPRISES LTD,75.5,76.1,73.36,73.82,73.5,75.25,,73.82,,,2887403,215281429.63,14887,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,21508,INE704P01025,COCHINSHIP,EQ,,,,,COCHIN SHIPYARD LIMITED,1434.0,1519.0,1430.9,1507.9,1514.0,1427.6,,1507.8,,,2885327,4303391227.5,93291,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,17939,INE531E01026,HINDCOPPER,EQ,,,,,HINDUSTAN COPPER LTD,497.05,505.0,493.7,501.1,502.4,496.2,,501.1,,,2873572,1435156592.95,53288,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,11530,INE02YR01019,EMIL,EQ,,,,,ELECTRONICS MART IND LTD,116.76,123.0,116.41,121.73,122.0,116.31,,121.74,,,2871786,345643266.62,21095,F1,1,,,,,
2026-06-30,2026-06-30,CM,NSE,STK,3048,INE109A01011,SCI,EQ,,,,,SHIPPING CORP OF INDIA LT,308.5,310.85,303.4,305.3,306.45,307.3,,305.3,,,2824470,862020081.7,27552,F1,1,,,,,
