TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-06-22,2026-06-22,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,14.98,15.03,14.75,14.82,14.79,14.92,,14.82,,,258582090,3854248086.26,595752,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,11915,INE528G01035,YESBANK,EQ,,,,,YES BANK LIMITED,25.5,25.56,24.93,24.96,24.95,25.41,,24.96,,,142168889,3573562294.81,97576,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,11763,INE351F01018,JPPOWER,EQ,,,,,JAIPRAKASH POWER VEN. LTD,18.11,18.88,18.11,18.22,18.18,18.06,,18.22,,,112059217,2071830177.87,71198,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,24777,INE0LXG01040,OLAELEC,EQ,,,,,OLA ELECTRIC MOBILITY LTD,42.75,43.69,42.03,42.52,42.5,42.25,,42.52,,,92507680,3950300819.45,139293,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,1476,INE008A01015,IDBI,EQ,,,,,IDBI BANK LIMITED,83.36,89.4,83.05,87.65,87.5,82.98,,87.65,,,83820771,7315189506.5,176274,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,399,INE470Y01017,NIACL,EQ,,,,,THE NEW INDIA ASSU CO LTD,205.5,218.0,205.5,212.11,212.5,202.31,,212.11,,,80921087,17238512662.3,429168,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,59.47,59.74,59.05,59.31,59.1,59.2,,59.31,,,70696950,4195686016.29,161919,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,1491,INE039A01010,IFCI,EQ,,,,,IFCI LTD,86.7,87.2,83.0,83.36,83.4,85.73,,83.36,,,69542979,5861156970.19,167675,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,1494,INE07T201019,RBA,EQ,,,,,RESTAURANT BRAND ASIA LTD,75.67,81.8,75.04,79.68,79.55,73.67,,79.68,,,68732862,5451338741.63,150393,F1,1,,,,,
2026-06-22,2026-06-22,CM,NSE,STK,1375,INE549A01026,HCC,EQ,,,,,HINDUSTAN CONSTRUCTION CO,27.3,28.0,26.94,27.83,27.93,27.02,,27.83,,,66234418,1824954256.49,48557,F1,1,,,,,
