Date,Symbol,Company,Open,High,Low,Close,PrevClose,Volume,TradedValue,Trades
19-06-2026,AHCL,ANLON HEALTHCARE LIMITED,15.69,16.45,15.63,16.3,15.75,6640407,107040318.7,8944
19-06-2026,MMTC,MMTC LIMITED,74.68,75.75,74.06,74.55,74.95,6629184,495685416.9,22182
19-06-2026,BCG,BRIGHTCOM GROUP LIMITED,10.37,10.45,10.19,10.29,10.37,6627822,68022301.18,5096
19-06-2026,INDUSINDBK,INDUSIND BANK LIMITED,938.5,950.55,931.2,947.45,938.75,6521623,6163054499,50157
19-06-2026,RCF,RASHTRIYA CHEMICALS & FER,133.2,139.25,133.2,136.65,134.45,6504274,893935114.9,48488
19-06-2026,EIEL,ENVIRO INFRA ENGINEERS L,195,213.2,192.85,205.87,194.76,6450644,1332485890,63824
19-06-2026,NITCO,NITCO LIMITED,106.9,114.44,105.55,113.74,106.92,6446037,715644975.9,43476
19-06-2026,AEROENTER,AEROFLEX ENTERPRISES LTD,123.4,137.95,121.5,135.87,124.42,6427192,861403138.8,48111
19-06-2026,DIACABS,DIAMOND POWER INFRA LTD,204.95,210.51,204.27,209.24,202.25,6366523,1326425330,40704
19-06-2026,PAISALO,PAISALO DIGITAL LIMITED,58.54,59.75,58.06,58.81,58.51,6346774,373609902.7,12762
19-06-2026,MOREPENLAB,MOREPEN LAB. LTD,50.98,51.35,48.6,49.5,51.03,6160692,307933141.6,17291
19-06-2026,COALINDIA,COAL INDIA LTD,452.3,454.8,448,451.3,452,6128782,2763470576,55974
19-06-2026,KISSHT,ONEMI TECHNOLOGY SOL LTD,271.15,298.9,271.05,295.7,271.9,6019506,1743176582,66044
19-06-2026,ENGINERSIN,ENGINEERS INDIA LTD,253.5,258.9,248.2,250.74,253.15,6016884,1527190100,57187
19-06-2026,HINDALCO,HINDALCO  INDUSTRIES  LTD,998,1016.8,985.2,1010,1008.5,6013455,6061683873,88559
19-06-2026,HINDPETRO,HINDUSTAN PETROLEUM CORP,400.2,400.3,390,392.1,401.6,5929061,2334942541,50958
19-06-2026,SCI,SHIPPING CORP OF INDIA LT,309.5,319.5,309.5,312.15,309.25,5887279,1852157723,49941
19-06-2026,TECHM,TECH MAHINDRA LIMITED,1350,1417.2,1344,1409.6,1447.7,5864187,8115025021,262136
19-06-2026,SDBL,SOM DIST & BREW LTD,81.1,84.09,73.65,75.31,85.9,5855376,454612760.6,37476
19-06-2026,SHAH,SHAH METACORP LIMITED,4.69,4.76,4.64,4.66,4.65,5842697,27341665.62,3157
19-06-2026,YATRA,YATRA ONLINE LIMITED,111.5,117.8,110.02,112.96,111.13,5838604,667809482.9,35718
19-06-2026,MRPL,MRPL,158.8,158.93,153.61,154.19,159.07,5718000,887466514.9,40131
19-06-2026,WALCHANNAG,WALCHANDNAGAR INDUSTRIES,300.45,315.8,296.7,312.05,301.35,5681026,1755582276,54895
19-06-2026,WELSPUNLIV,WELSPUN LIVING LIMITED,162,164.58,158.2,162.23,163,5648234,911056045.3,48039
19-06-2026,JYOTICNC,JYOTI CNC AUTOMATION LTD,699,754.75,696,737.95,700.65,5625870,4168560588,140921
19-06-2026,LLOYDSENT,LLOYDS ENTERPRISES LTD,77.33,77.99,74.36,77.22,76.88,5589903,425605305.2,22342
19-06-2026,NSLNISP,NMDC STEEL LIMITED,46.99,47.23,46.25,46.88,47.11,5563304,259152918.4,21585
19-06-2026,NTPCGREEN,NTPC GREEN ENERGY LIMITED,95.75,97.18,94.34,96.04,95.84,5507610,526904635.8,59799
19-06-2026,RVNL,RAIL VIKAS NIGAM LIMITED,246.5,246.5,242.29,243.99,247.58,5474304,1336822681,46101
19-06-2026,MSPL,MSP STEEL & POWER LTD.,42.4,44.32,42.4,44.32,42.21,5362185,235804549.6,7030
19-06-2026,MONIFTY500,MOTILALAMC - MONIFTY500,23.62,23.68,23.51,23.63,23.68,5322786,125879065.5,1577
19-06-2026,SUMEETINDS,SUMEET IND LIMITED,26.48,26.49,25.71,25.84,25.87,5205241,136406151.1,4278
19-06-2026,CGCL,CAPRI GLOBAL CAPITAL LTD,220.01,225.99,218.53,220.96,220.81,5205174,1154671618,30696
19-06-2026,HDBFS,HDB FINANCIAL SERVICES L,696.05,733,685.75,717.4,695.45,5185606,3707201608,109286
19-06-2026,JBMA,JBM AUTO LIMITED,708,738,699.15,727.3,706.5,5104745,3712311111,105716
19-06-2026,GATECH,GACM TECHNOLOGIES LIMITED,0.52,0.53,0.51,0.51,0.51,5031877,2609049.24,795
19-06-2026,BANKBARODA,BANK OF BARODA,281.95,282.5,278.1,281.05,283,4914684,1378642013,37939
19-06-2026,GARFIBRES,GARWARE TECH FIBRES LTD,698.75,818.65,695,796.4,697.6,4899596,3862866391,143468
19-06-2026,IOB,INDIAN OVERSEAS BANK,35.19,35.28,34.75,35.09,35.23,4843466,169544404.8,15735
19-06-2026,RENUKA,SHREE RENUKA SUGARS LTD,23.17,23.3,22.88,23.09,23.21,4750525,109514568.2,9653
19-06-2026,LTF,L&T FINANCE LIMITED,282.4,289.8,282.4,286.5,286.9,4742265,1360139579,36807
19-06-2026,AXISBANK,AXIS BANK LIMITED,1356.8,1363,1350.5,1357.9,1360.1,4640277,6293452922,89926
19-06-2026,TATAPOWER,TATA POWER CO LTD,402.5,403.7,399.5,402.35,402.9,4585159,1840420501,36275
19-06-2026,PPLPHARMA,PIRAMAL PHARMA LIMITED,160.4,162.08,158.15,158.9,160.2,4540136,728927868.1,23430
19-06-2026,RICOAUTO,RICO AUTO INDUSTRIES LTD,144,148.9,143.01,145.28,144.43,4534708,660982262.3,29330
19-06-2026,INDSWFTLAB,IND SWIFT LABORATORIES LT,172,190.5,169.5,187.38,168.68,4532691,821739612.3,44200
19-06-2026,LEMONTREE,LEMON TREE HOTELS LTD,111.95,113.5,111.62,113.04,111.86,4434976,500409120.3,48442
19-06-2026,BHAGCHEM,BHAGIRADHA CHEM & INDS L,258.99,298,242.7,279.26,258.99,4419217,1262348409,55666
19-06-2026,UPL,UPL LIMITED,610.8,611.7,603,608.65,610.8,4384034,2667253117,47905
19-06-2026,ADANIPORTS,ADANI PORT & SEZ LTD,1842.1,1849,1830,1835.3,1842.1,4382841,8047698366,64788
19-06-2026,RPTECH,RASHI PERIPHERALS LIMITED,726,762.9,716.95,750.65,730,4217460,3155849226,64035
19-06-2026,DCXINDIA,DCX SYSTEMS LIMITED,193,208.59,192.2,204.32,193.33,4211213,857989865.2,47655
19-06-2026,DLF,DLF LIMITED,639,639,619.65,624.5,640.7,4202998,2638093069,75270
19-06-2026,GNA,GNA AXLES LIMITED,413,456,408,413.15,412.85,4186116,1817870946,83410
19-06-2026,NEXT50BETA,UTIAMC-NEXT50BETA,78.07,79.2,77.69,78.68,78.08,4158346,325794045.1,2723
19-06-2026,DEN,DEN NETWORKS LTD,31.59,33.6,31.01,33.08,31.31,4148351,136502814.5,12656
19-06-2026,JSWCEMENT,JSW CEMENT LIMITED,131.48,133.3,128.2,128.66,130.72,4132651,539129855.7,24782
19-06-2026,CONFIPET,CONFIDENCE PETRO IND LTD.,68.9,71.04,67.11,70.44,67.89,4124933,288483326.1,14756
19-06-2026,OLECTRA,OLECTRA GREENTECH LIMITED,1443.9,1534.7,1435.2,1520.3,1446.6,4118033,6202649665,191845
