TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-02,2026-07-02,CM,NSE,STK,29124,INE785M01021,PCJEWELLER,EQ,,,,,PC JEWELLER LTD,8.78,10.1,8.78,9.85,9.87,8.78,,9.85,,,657572334,6398355965.78,360434,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,750368,INE704J01044,VOGL,EQ,,,,,VEDANTA OIL AND GAS LTD,40.15,45.69,39.73,44.59,45.23,38.68,,44.59,,,393536150,16885800290.26,565081,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,14366,INE669E01016,IDEA,EQ,,,,,VODAFONE IDEA LIMITED,14.68,14.75,14.4,14.48,14.43,14.64,,14.48,,,289031803,4193901110.67,462614,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,750518,INE694L01019,VEDPOWER,EQ,,,,,VEDANTA POWER LIMITED,44.8,49.49,44.58,48.64,49.0,44.21,,48.64,,,180663243,8468311451.45,378676,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,24777,INE0LXG01040,OLAELEC,EQ,,,,,OLA ELECTRIC MOBILITY LTD,45.5,46.0,44.11,45.51,45.51,45.02,,45.51,,,128750807,5787627283.06,154972,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,15259,INE614G01033,RPOWER,EQ,,,,,RELIANCE POWER LTD.,27.48,27.75,26.38,26.5,26.58,27.17,,26.5,,,71381865,1915219515.5,86486,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,16249,INE483S01020,CCAVENUE,EQ,,,,,AVENUESAI LIMITED,17.5,18.75,17.25,17.37,17.42,17.31,,17.37,,,67922468,1226611625.13,77110,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,27052,INE0W2G01015,SAGILITY,EQ,,,,,SAGILITY LIMITED,40.0,42.3,39.83,41.25,41.49,39.64,,41.25,,,67550457,2800851976.07,113627,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,21428,INF277KA1984,TATSILV,EQ,,,,,TATAAML-TATSILV,21.47,22.12,21.47,21.98,21.98,21.47,,21.98,,,62066524,1365715969.35,56177,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,25468,INE420C01059,PAISALO,EQ,,,,,PAISALO DIGITAL LIMITED,72.0,74.9,70.93,71.92,71.5,70.84,,71.92,,,60357650,4407779253.35,131200,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,11915,INE528G01035,YESBANK,EQ,,,,,YES BANK LIMITED,24.6,24.66,24.15,24.25,24.26,24.58,,24.25,,,57142326,1389871373.85,72599,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,3812,INE256A01028,ZEEL,EQ,,,,,ZEE ENTERTAINMENT ENT LTD,108.0,108.45,103.52,107.16,106.92,108.31,,107.16,,,51620794,5462919023.41,127129,F1,1,,,,,
2026-07-02,2026-07-02,CM,NSE,STK,12018,INE040H01021,SUZLON,EQ,,,,,SUZLON ENERGY LIMITED,58.35,58.68,57.36,57.67,57.7,58.35,,57.67,,,51175497,2965647132.09,88133,F1,1,,,,,
