Date,Symbol,Company,Open,High,Low,Close,PrevClose,DailyReturnPct,DailyRange,RangePct,GapPct,Volume,TradedValue,Trades
2026-06-05 00:00:00,LAXMIDENTL,LAXMIDENTL,228.30,237.87,228.16,229.90,228.84,0.46,9.71,4.25,-0.24,263241,607.73,6164
2026-06-05 00:00:00,HDBFS,HDBFS,648.90,648.90,639.70,641.95,644.45,-0.39,9.20,1.42,0.69,261562,1682.80,24075
2026-06-05 00:00:00,DREDGECORP,DREDGECORP,1211.90,1216.80,1165.80,1178.30,1203.60,-2.10,51.00,4.21,0.69,261288,3109.73,13605
2026-06-05 00:00:00,DALBHARAT,DALBHARAT,1725.30,1725.30,1676.90,1688.60,1725.30,-2.13,48.40,2.81,0.00,260820,4419.50,22499
2026-06-05 00:00:00,POLYMED,POLYMED,1410.00,1435.00,1384.00,1419.80,1405.00,1.05,51.00,3.62,0.36,260723,3676.66,17179
2026-06-05 00:00:00,RTL,RTL,80.10,83.50,80.10,83.50,83.40,0.12,3.40,4.24,-3.96,258000,215.15,43
2026-06-05 00:00:00,GODFRYPHLP,GODFRYPHLP,2234.00,2248.00,2206.00,2220.10,2234.00,-0.62,42.00,1.88,0.00,256712,5706.76,19389
2026-06-05 00:00:00,BLUEJET,BLUEJET,477.70,477.70,461.45,465.15,475.60,-2.20,16.25,3.40,0.44,256221,1195.26,10784
2026-06-05 00:00:00,POLYCAB,POLYCAB,9755.00,9833.00,9656.00,9699.00,9717.50,-0.19,177.00,1.81,0.39,256030,24899.33,39280
2026-06-05 00:00:00,PRAKASH,PRAKASH,146.80,147.39,142.53,144.30,146.39,-1.43,4.86,3.31,0.28,255781,371.00,2527
2026-06-05 00:00:00,BMWVENTLTD,BMWVENTLTD,60.05,64.46,59.75,61.79,59.67,3.55,4.71,7.84,0.64,253501,158.24,2147
2026-06-05 00:00:00,KALAMANDIR,KALAMANDIR,105.60,107.60,105.11,106.44,105.47,0.92,2.49,2.36,0.12,253024,268.93,2397
2026-06-05 00:00:00,HPL,HPL,364.90,368.95,354.45,357.10,360.40,-0.92,14.50,3.97,1.25,252292,913.87,7144
2026-06-05 00:00:00,CHEMPLASTS,CHEMPLASTS,206.40,209.50,203.14,207.02,206.06,0.47,6.36,3.08,0.17,251531,517.83,4946
2026-06-05 00:00:00,BLACKBUCK,BLACKBUCK,520.95,523.70,500.80,506.70,515.60,-1.73,22.90,4.40,1.04,251474,1287.65,13098
2026-06-05 00:00:00,VIPULLTD,VIPULLTD,8.60,9.79,8.60,9.58,8.93,7.28,1.19,13.84,-3.70,250079,23.48,451
2026-06-05 00:00:00,ABB,ABB,7175.00,7217.00,7108.50,7167.50,7156.00,0.16,108.50,1.51,0.27,249982,17906.11,33366
2026-06-05 00:00:00,HLEGLAS,HLEGLAS,385.00,393.70,375.55,384.50,387.00,-0.65,18.15,4.71,-0.52,249375,957.41,7085
2026-06-05 00:00:00,MOM100,MOM100,65.74,66.30,65.26,65.56,65.74,-0.27,1.04,1.58,0.00,249228,163.97,2714
2026-06-05 00:00:00,INDGN,INDGN,518.00,530.65,517.70,523.00,518.05,0.96,12.95,2.50,-0.01,248735,1307.61,24173
2026-06-05 00:00:00,KIRLOSENG,KIRLOSENG,1974.00,1974.00,1902.30,1913.30,1949.90,-1.88,71.70,3.63,1.24,248496,4775.80,26080
2026-06-05 00:00:00,KRISHANA,KRISHANA,684.55,690.00,664.00,666.70,684.55,-2.61,26.00,3.80,0.00,248114,1674.52,6106
2026-06-05 00:00:00,LTM,LTM,4119.00,4127.80,4007.50,4027.20,4067.70,-1.00,120.30,2.92,1.26,247813,10023.18,27589
2026-06-05 00:00:00,AURUM,AURUM,190.20,194.40,186.01,190.08,188.70,0.73,8.39,4.41,0.79,247744,473.09,3021
2026-06-05 00:00:00,BAJAJ-AUTO,BAJAJ-AUTO,10394.00,10446.00,10317.00,10342.00,10362.00,-0.19,129.00,1.24,0.31,247150,25629.10,40557
2026-06-05 00:00:00,GROWWEV,GROWWEV,30.66,30.94,30.41,30.75,30.57,0.59,0.53,1.73,0.29,247020,75.81,1776
2026-06-05 00:00:00,DIGITIDE,DIGITIDE,86.48,91.45,85.62,89.76,86.44,3.84,5.83,6.74,0.05,246795,217.11,2425
2026-06-05 00:00:00,BALMLAWRIE,BALMLAWRIE,182.97,184.49,178.00,179.04,181.08,-1.13,6.49,3.55,1.04,246544,445.91,3161
2026-06-05 00:00:00,SITINET,SITINET,0.38,0.38,0.37,0.37,0.37,0.00,0.01,2.63,2.70,246476,0.93,162
2026-06-05 00:00:00,PLATIND,PLATIND,215.66,230.00,215.66,218.40,216.04,1.09,14.34,6.65,-0.18,246258,546.60,3744
2026-06-05 00:00:00,CIEINDIA,CIEINDIA,459.60,459.85,448.20,452.05,455.90,-0.84,11.65,2.53,0.81,245515,1115.21,17665
2026-06-05 00:00:00,WELENT,WELENT,544.70,548.80,535.65,541.40,540.75,0.12,13.15,2.41,0.73,245430,1334.66,8764
2026-06-05 00:00:00,ZYDUSWELL,ZYDUSWELL,502.45,511.00,492.60,504.60,501.45,0.63,18.40,3.66,0.20,245293,1228.96,10274
2026-06-05 00:00:00,UTTAMSUGAR,UTTAMSUGAR,233.50,248.90,231.22,246.85,232.14,6.34,17.68,7.57,0.59,245140,595.47,4766
2026-06-05 00:00:00,PNGSREVA,PNGSREVA,377.00,397.40,377.00,381.35,380.95,0.11,20.40,5.41,-1.04,244627,954.66,3247
2026-06-05 00:00:00,NEPHROPLUS,NEPHROPLUS,661.00,683.10,661.00,675.85,661.00,2.25,22.10,3.34,0.00,244051,1641.87,13684
2026-06-05 00:00:00,GUFICBIO,GUFICBIO,359.00,378.00,358.00,369.95,354.35,4.40,20.00,5.57,1.31,243828,895.62,7477
2026-06-05 00:00:00,HNGSNGBEES,HNGSNGBEES,516.00,516.00,499.00,501.73,510.68,-1.75,17.00,3.29,1.04,242808,1221.13,11144
2026-06-05 00:00:00,VAIBHAVGBL,VAIBHAVGBL,233.00,234.96,227.15,228.46,232.56,-1.76,7.81,3.35,0.19,242356,556.33,3883
2026-06-05 00:00:00,IPCALAB,IPCALAB,1614.90,1650.60,1610.30,1641.90,1614.00,1.73,40.30,2.50,0.06,242278,3964.11,27504
2026-06-05 00:00:00,VERANDA,VERANDA,236.85,238.87,225.76,229.73,237.55,-3.29,13.11,5.54,-0.29,242097,557.23,2759
2026-06-05 00:00:00,RANASUG,RANASUG,12.88,13.15,12.71,12.90,12.87,0.23,0.44,3.42,0.08,242007,31.44,686
2026-06-05 00:00:00,OBEROIRLTY,OBEROIRLTY,1628.50,1657.00,1626.60,1633.40,1631.90,0.09,30.40,1.87,-0.21,241380,3968.06,11605
2026-06-05 00:00:00,MBAPL,MBAPL,560.00,572.35,542.95,546.80,555.65,-1.59,29.40,5.25,0.78,241307,1337.50,6508
2026-06-05 00:00:00,SUNTECK,SUNTECK,280.00,287.00,279.85,282.30,278.10,1.51,7.15,2.55,0.68,240500,681.07,5195
2026-06-05 00:00:00,CLEANMAX,CLEANMAX,1183.80,1223.80,1170.10,1217.00,1170.70,3.95,53.70,4.54,1.12,239014,2874.33,25854
2026-06-05 00:00:00,PROZONER,PROZONER,50.73,52.73,49.54,51.36,51.27,0.18,3.19,6.29,-1.05,238043,122.90,1232
2026-06-05 00:00:00,DPSCLTD,DPSCLTD,8.20,8.24,7.80,7.91,7.95,-0.50,0.44,5.37,3.14,237714,18.99,630
2026-06-05 00:00:00,TOP15IETF,TOP15IETF,9.52,9.59,9.45,9.50,9.47,0.32,0.14,1.47,0.53,237709,22.57,459
2026-06-05 00:00:00,KAVDEFENCE,KAVDEFENCE,65.40,66.30,61.02,61.71,63.34,-2.57,5.28,8.07,3.25,237604,150.16,2165
