Date,Symbol,Company,Open,High,Low,Close,PrevClose,DailyReturnPct,DailyRange,RangePct,GapPct,Volume,TradedValue,Trades
2026-06-01 00:00:00,IDEA,IDEA,14.20,14.31,13.87,13.95,13.99,-0.29,0.44,3.10,1.50,571818698,80825.48,524696
2026-06-01 00:00:00,JPPOWER,JPPOWER,21.99,21.99,18.52,18.79,21.87,-14.08,3.47,15.78,0.55,504618192,98933.71,502949
2026-06-01 00:00:00,SUZLON,SUZLON,56.81,56.90,53.50,53.93,56.99,-5.37,3.40,5.98,-0.32,153165238,83957.67,203138
2026-06-01 00:00:00,YESBANK,YESBANK,23.28,23.77,22.92,23.01,23.15,-0.60,0.85,3.65,0.56,141975429,33060.60,125534
2026-06-01 00:00:00,PCJEWELLER,PCJEWELLER,9.90,9.94,9.10,9.24,9.60,-3.75,0.84,8.48,3.13,138112053,13122.90,48701
2026-06-01 00:00:00,OLAELEC,OLAELEC,41.87,42.00,39.13,39.53,41.49,-4.72,2.87,6.85,0.92,137812970,55728.62,188638
2026-06-01 00:00:00,GTLINFRA,GTLINFRA,1.44,1.51,1.41,1.42,1.42,0.00,0.10,6.94,1.41,134729433,1970.71,21117
2026-06-01 00:00:00,NSLNISP,NSLNISP,48.30,52.62,47.42,50.50,44.62,13.18,5.20,10.77,8.25,125427476,63501.12,261422
2026-06-01 00:00:00,ZEEL,ZEEL,94.10,99.80,92.54,95.79,93.11,2.88,7.26,7.72,1.06,92286105,89844.27,234919
2026-06-01 00:00:00,NMDC,NMDC,89.10,93.70,87.50,92.37,87.99,4.98,6.20,6.96,1.26,73822842,66950.05,130941
2026-06-01 00:00:00,DHARAN,DHARAN,0.13,0.14,0.13,0.14,0.13,7.69,0.01,7.69,0.00,64264471,89.59,1229
2026-06-01 00:00:00,HFCL,HFCL,180.00,188.00,178.01,182.28,179.94,1.30,9.99,5.55,0.03,61616434,113034.15,235577
2026-06-01 00:00:00,INOXWIND,INOXWIND,89.48,91.11,83.31,83.84,93.02,-9.87,7.80,8.72,-3.81,52246914,44986.94,168472
2026-06-01 00:00:00,BHARATCOAL,BHARATCOAL,41.50,41.74,38.00,38.13,41.34,-7.76,3.74,9.01,0.39,52044062,20662.38,92467
2026-06-01 00:00:00,TATAGOLD,TATAGOLD,14.98,15.09,14.93,14.95,15.09,-0.93,0.16,1.07,-0.73,51916597,7773.75,94897
