Date,Symbol,Company,Open,High,Low,Close,PrevClose,DailyReturnPct,DailyRange,RangePct,GapPct,Volume,TradedValue,Trades
2026-07-07,IDEA,VODAFONE IDEA LIMITED,14.15,14.15,13.76,13.85,14.09,-1.7,0.39,2.76,0.43,382559869,5313049927.38,595047
2026-07-07,PCJEWELLER,PC JEWELLER LTD,9.45,9.57,8.94,9.41,9.46,-0.53,0.63,6.67,-0.11,377482439,3504904774.59,250520
2026-07-07,RITES,RITES LIMITED,226.3,244.59,226.3,235.43,216.15,8.92,18.29,8.08,4.7,100658878,23837120090.88,574313
2026-07-07,VOGL,VEDANTA OIL AND GAS LTD,38.7,38.7,35.73,35.89,38.94,-7.83,2.97,7.67,-0.62,93723385,3432107674.79,167890
2026-07-07,CUPID,CUPID LIMITED,217.0,221.65,207.35,221.11,213.09,3.76,14.3,6.59,1.83,86186965,18764596014.34,384022
2026-07-07,OLAELEC,OLA ELECTRIC MOBILITY LTD,42.55,43.0,41.41,42.4,42.39,0.02,1.59,3.74,0.38,79842715,3370999505.02,117321
2026-07-07,MOTISONS,MOTISONS JEWELLERS LTD,15.1,15.5,14.74,14.91,15.0,-0.6,0.76,5.03,0.67,70106990,1062621665.69,80125
2026-07-07,YESBANK,YES BANK LIMITED,24.26,24.3,23.86,24.01,24.26,-1.03,0.44,1.81,0.0,61965545,1489882964.37,80881
2026-07-07,HDFCBANK,HDFC BANK LTD,843.0,843.0,826.1,829.3,829.85,-0.07,16.9,2.0,1.58,57611729,48052350466.8,500541
2026-07-07,SUZLON,SUZLON ENERGY LIMITED,55.47,55.56,54.15,54.38,55.47,-1.97,1.41,2.54,0.0,56983348,3111578868.19,93298
2026-07-07,TARC,TARC LIMITED,124.5,142.4,122.61,127.51,124.53,2.39,19.79,15.9,-0.02,56795037,7594023943.13,274580
2026-07-07,PWL,PHYSICSWALLAH LIMITED,135.1,152.67,133.53,148.78,135.1,10.13,19.14,14.17,0.0,56701910,8207960904.41,228989
